Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Position
Carsen Edwards,BAY,14,20.6,13.6,4.3,9.3,0.462,2.2,5.2,0.425,2.9,3.4,0.851,0.1,2.6,2.7,1.5,0.9,0.1,1.1,1.2,German BBL,PG
Deandre Lansdowne,BVC,17,28.9,13.6,5.3,11.6,0.457,1.4,3.6,0.371,1.6,2.5,0.667,0.8,2.6,3.4,4.8,1.6,0.1,3.1,2.5,German BBL,PG
Matt Thomas,BER,12,22.4,13.6,4.5,8.3,0.545,2.8,5.6,0.493,1.8,2,0.917,0.3,2.6,2.8,1.4,0.5,0,2,1.3,German BBL,PG
Sylvain Francisco,BAY,16,19.7,13.3,4.4,8.8,0.496,2.1,4.9,0.418,2.4,3.3,0.736,0.2,1.8,1.9,3.2,0.9,0,1.4,1.3,German BBL,PG
T.J. Crockett,BLB,19,24.1,13.2,4.2,10.1,0.417,2.1,5.9,0.357,2.7,2.9,0.927,0.5,1.6,2.1,2.4,0.7,0.1,1.7,2.7,German BBL,PG
Brandon Childress,CRA,16,25.4,12.9,3.8,11.4,0.33,1.2,5.8,0.204,4.3,5,0.85,0.1,1.9,1.9,2.6,1.3,0.1,2.6,2.7,German BBL,PG
Diante Baldwin,BC,19,27.8,12.2,4.7,9.9,0.473,1,3.1,0.322,1.8,2.5,0.729,0.5,2.4,2.8,4.7,0.9,0.2,2.6,2.3,German BBL,PG
Desure Buie,LUD,19,27.9,12.2,4.1,10.4,0.391,1.7,5.4,0.324,2.4,2.7,0.882,1.1,2,3.1,5.8,1.2,0.1,2.3,1.8,German BBL,PG
Kaza Keane,BVC,11,24.3,11.8,4.1,10.5,0.388,1.4,4.8,0.283,2.3,2.5,0.926,0.2,2.5,2.7,6.5,1.3,0.1,3.1,2.5,German BBL,PG
Harald Frey,TBB,15,19.9,11.3,3.3,7.7,0.426,1.5,4.7,0.314,3.3,3.8,0.86,0.5,1,1.5,4.3,0.8,0,1.1,2.3,German BBL,PG
Mark Hughes,HAM,18,20.7,9.9,3.1,7.3,0.424,1.9,5.1,0.37,1.8,2,0.889,0.4,1.8,2.2,1.7,0.9,0.1,1.8,2.2,German BBL,PG
Darius Perry,OLI,18,21.8,9.7,3.1,8.3,0.373,1.4,4.2,0.329,2.1,2.6,0.804,0.4,2.3,2.7,1.8,1.1,0.1,1.9,2.7,German BBL,PG
Charles Callison,BC,19,23,9.6,3.7,10.5,0.35,1.5,5.2,0.283,0.8,0.9,0.882,0.4,0.9,1.4,3.3,0.8,0.2,1.6,1.9,German BBL,PG
Zach Ensminger,GOE,16,18.8,9.6,2.9,6.4,0.447,1,2.9,0.34,2.8,3.6,0.776,0.5,1.6,2.1,3.1,0.6,0.1,1.4,1.7,German BBL,PG
Wes Clark,ROST,14,20.5,9.4,3.3,7.7,0.426,1.6,3.5,0.469,1.1,1.4,0.842,0.7,2,2.7,2.6,0.5,0,0.7,1.6,German BBL,PG
Thomas Klepeisz,RUL,19,24.9,7.8,2.1,6,0.342,1.5,4.8,0.304,2.3,2.6,0.878,0.3,1.3,1.6,4.6,0.9,0.2,1.4,2.2,German BBL,PG
Bennet Hundt,MLP,19,21.9,7.5,2.6,7.6,0.345,1.5,4.1,0.359,0.7,0.9,0.824,0.4,0.8,1.2,4.3,0.4,0,2.3,2.2,German BBL,PG
Malik Johnson,BRO,19,23.6,6.8,1.9,5.5,0.343,0.4,1.6,0.226,2.6,3.4,0.769,0.2,1.5,1.6,5,0.6,0,2.4,3.1,German BBL,PG
Alagie Barra Njie,BLB,20,15.5,5.5,2,5.5,0.364,0.2,0.6,0.25,1.3,2.6,0.5,0.7,1.3,2,3.3,0.4,0.1,1.9,1.9,German BBL,PG
Elias Baggette,CRA,18,13,4.7,1.8,3.7,0.478,0.3,0.9,0.375,0.8,1.2,0.714,0.2,1.4,1.6,2.3,0.3,0,1.9,1.3,German BBL,PG
Niklas Wurzner,MLP,14,15.7,4.4,1.5,3.9,0.389,0.8,2.1,0.367,0.6,0.9,0.692,1.1,1.1,2.2,1.2,0.6,0,1.1,2.3,German BBL,PG
Javon Ferguson,TUB,11,11.8,4,1.5,3.5,0.421,0.4,1,0.364,0.7,1,0.727,0.1,0.9,1,1.5,0.4,0,0.9,1.5,German BBL,PG
Nelson Weidemann,BAY,14,10.6,3.6,1.2,3.3,0.37,0.7,1.9,0.385,0.5,0.5,1,0.1,0.9,1,0.9,0.4,0.1,0.6,1.7,German BBL,PG
Nico Brauner,HAM,18,12.8,3.6,1.1,3.5,0.302,0.9,3.1,0.291,0.6,0.8,0.714,0.2,0.9,1.2,1.2,0.4,0.1,0.6,2.7,German BBL,PG
Gianni Otto,TUB,17,10.6,2.9,1.1,2.6,0.4,0.5,1.4,0.333,0.3,0.4,0.714,0.2,1.1,1.3,2.8,0.6,0.1,0.9,1.1,German BBL,PG
Ralph Immacule Hounnou,BC,12,5.1,2.4,0.9,1.8,0.5,0.3,0.8,0.4,0.3,0.3,0.75,0.5,0.2,0.7,0.1,0.1,0.1,0.2,1.2,German BBL,PG
Ziga Samar,BER,9,17.1,2.3,0.9,3.3,0.267,0.2,1.4,0.154,0.3,0.8,0.429,0.3,1.7,2,5.7,0.9,0.1,3,2.9,German BBL,PG
Johannes Patrick,LUD,12,5.5,2.2,0.5,1.5,0.333,0.3,0.9,0.364,0.8,1.2,0.714,0.2,0.3,0.5,0.8,0.2,0,0.3,1.5,German BBL,PG
Rene Kindzeka,CRA,14,5.5,2.1,0.6,1.9,0.333,0.4,1.4,0.316,0.4,0.5,0.857,0,0.2,0.2,0.1,0.3,0,0.2,0.8,German BBL,PG
Oshane Drews,ROST,10,5.3,1.4,0.5,1.1,0.455,0.1,0.2,0.5,0.3,0.7,0.429,0.2,0.5,0.7,0.3,0.1,0,0.3,0.5,German BBL,PG
Peter Hemschemeier,GOE,10,3,0.8,0.3,0.7,0.429,0.1,0.5,0.2,0.1,0.1,1,0,0.1,0.1,0.1,0,0,0.3,0.2,German BBL,PG
Zach Copeland,BRO,19,25.2,18.2,5.7,12.9,0.439,3.5,8.6,0.405,3.4,3.9,0.853,0.4,2.1,2.5,3.8,1.6,0.1,2.4,2.3,German BBL,SG
"Charles Manning, Jr.",EWE,8,25.1,16.5,5.5,10.9,0.506,1.4,2.9,0.478,4.1,4.8,0.868,0.3,2.5,2.8,3.5,1,0.1,2.1,2.1,German BBL,SG
Sterling Brown,BER,13,23.7,15.8,5.8,9.9,0.589,2.2,4.9,0.438,1.9,2.3,0.833,0.5,2.8,3.4,2.5,0.8,0,2.3,1.4,German BBL,SG
Wesley Van Beck,BVC,19,25.6,15.2,4.9,10.6,0.468,3.2,6.8,0.465,2.2,2.3,0.932,1,2.5,3.5,4.1,1.4,0.2,3.1,2.7,German BBL,SG
Geno Crandall,EWE,12,23.9,14.9,4.8,11.1,0.436,1.3,4.9,0.271,3.9,4.8,0.81,0.8,2.7,3.4,5.7,1.5,0.3,3.1,3,German BBL,SG
Jayvon Graves,LUD,19,28.5,14.8,5.3,12.6,0.417,1.7,5.2,0.323,2.6,3.9,0.676,1.5,2.7,4.2,4.1,1.1,0.3,1.9,2.3,German BBL,SG
Dakota Mathias,RUL,8,22.9,14.5,5.3,11.1,0.472,2.3,5.9,0.383,1.8,2.3,0.778,0.5,1.9,2.4,1.8,1.1,0,1.1,1.3,German BBL,SG
Trey Woodbury,BRO,19,23.7,14.2,5.5,11.2,0.495,1.5,3.9,0.373,1.7,2,0.842,0.6,3.7,4.3,3.1,0.7,0.2,2,2.7,German BBL,SG
Brian Fobbs,TBB,20,24.3,14,4.9,10.5,0.462,2.5,5.7,0.442,1.8,1.9,0.921,0.7,2.2,2.9,1.7,0.7,0.1,2.4,1.7,German BBL,SG
Johnathan Stove,BC,19,27.5,13.6,5.1,11,0.459,1.6,4.5,0.365,1.8,2.2,0.854,0.7,2.5,3.2,1.2,1.1,0.2,2.3,2.8,German BBL,SG
William Christmas,HAM,18,28.7,13.3,4.8,9.7,0.497,1.1,3.3,0.317,2.6,3.3,0.78,1.3,2.3,3.7,2.8,1.2,0.2,1.8,2.1,German BBL,SG
Ahmaad Rorie,BLB,19,28.8,13.2,4.7,11.3,0.416,2.2,5.9,0.375,1.6,2,0.789,0.4,2.5,2.9,5.9,0.9,0.1,2.2,1.9,German BBL,SG
Keandre Cook,CRA,18,27.4,12.7,3.7,8.6,0.435,1.6,3.5,0.444,3.7,4.1,0.892,1.3,3.2,4.6,1.6,0.8,0.1,2.1,2.8,German BBL,SG
Isaiah Washington,OLI,17,27.9,12.6,4.3,11,0.39,2.1,6,0.353,1.9,2.6,0.711,0.8,3.8,4.6,2.7,0.7,0,1.8,1.9,German BBL,SG
Deondre Burns,GOE,10,21.7,12,4.7,9.4,0.5,0.6,1.9,0.316,2,2.6,0.769,0.4,1.4,1.8,3.1,0.8,0,2.8,3.1,German BBL,SG
Silas Melson,LUD,17,25,11.4,3.9,8.4,0.472,1.6,4.6,0.359,1.8,2.1,0.886,0.4,2.4,2.7,2.3,0.7,0.1,1.5,2.2,German BBL,SG
Juan Nunez,RUL,17,23.1,10.6,4.1,8.2,0.496,0.7,2.2,0.324,1.8,2.7,0.674,0.7,3,3.7,4.9,1.6,0,2.2,1.8,German BBL,SG
Andreas Obst,BAY,12,19.8,10.3,3.2,6.7,0.475,2.4,5.3,0.46,1.6,1.8,0.905,0.2,2,2.2,1.5,0.5,0.1,0.6,1.1,German BBL,SG
Fedor Zugic,GOE,17,21.6,10.2,3.1,7.2,0.423,1,3.1,0.327,3.1,4.2,0.722,0.3,1.8,2.1,1.5,0.4,0.1,2,1.8,German BBL,SG
Elias Lasisi,MLP,18,27.9,9.9,3.3,7.8,0.429,1.9,5.4,0.357,1.3,1.4,0.92,0.8,1.8,2.6,2.3,0.6,0.1,0.9,1.6,German BBL,SG
Gabriele Procida,BER,11,16.9,9.5,2.9,6.4,0.457,1.1,3.1,0.353,2.5,3.3,0.778,0,1.3,1.3,1.5,1.3,0,1.5,1.4,German BBL,SG
Ferdinand Zylka,BLB,18,16.8,9.4,3.4,8.5,0.405,1.6,4.4,0.35,0.9,1.1,0.85,0.1,1.8,1.9,1.2,1.1,0.1,1.3,2.3,German BBL,SG
Maurice Stuckey,CRA,19,23.6,8.5,2.8,7.1,0.403,1.8,5.2,0.343,1,1.2,0.826,0.5,2.4,2.9,1.6,1.1,0.1,0.8,3.3,German BBL,SG
Jonas Richter,BVC,17,19.2,8.5,3.4,5.9,0.57,0.4,0.9,0.375,1.4,2.3,0.615,1.5,2.7,4.2,1.2,0.8,0.5,0.8,3.2,German BBL,SG
Leandro Bolmaro,BAY,15,18.3,8.3,3,5.6,0.536,0.8,2,0.4,1.5,1.8,0.852,0.2,2,2.2,2.5,0.4,0.3,1.6,2.1,German BBL,SG
Chavares Flanigan,RAS,19,20.6,8.2,3.2,5.6,0.566,0.8,1.9,0.444,1,1.3,0.792,1,1.6,2.6,1.8,1.2,0.2,0.7,1.7,German BBL,SG
Len Schoormann,EWE,19,23.1,7.8,2.6,6.7,0.383,1.4,4.3,0.321,1.3,1.5,0.862,0.7,1.6,2.3,1.2,0.8,0.1,1.3,2.2,German BBL,SG
Matt Bradley,ROST,15,16.3,7.8,2.7,5.9,0.461,1,2.8,0.357,1.3,1.4,0.952,0.5,2,2.5,1.4,0.3,0.5,0.8,2.5,German BBL,SG
Matteo Spagnolo,BER,14,20.6,7.6,2.8,6.9,0.402,0.3,1.3,0.222,1.8,2.4,0.735,0.7,1.8,2.5,3.6,0.8,0,1.9,1.3,German BBL,SG
Isaac Bonga,BAY,14,16.7,7.6,2.6,5.1,0.5,0.9,2.3,0.375,1.6,1.9,0.852,1.4,2.7,4.1,1.9,0.4,0.8,1,1.1,German BBL,SG
Robin Amaize,ROST,18,20.6,7.1,2.1,5.2,0.404,0.9,2.3,0.39,1.9,2.5,0.778,0.5,3.1,3.6,3,0.7,0.2,2.3,2.2,German BBL,SG
Kostja Mushidi,BC,16,19.5,6.8,2.3,6.4,0.363,1.4,4.8,0.289,0.8,1.5,0.5,0.2,1.3,1.5,2,0.4,0.1,0.9,2.8,German BBL,SG
Deion Hammond,LUD,17,11.9,6.5,2.2,5.1,0.442,1.4,2.9,0.46,0.6,0.7,0.917,0.2,1.7,1.9,0.4,0.3,0,0.4,1.4,German BBL,SG
Spencer Reaves,RAS,19,14,6.4,2.2,4.2,0.532,1.1,2.2,0.512,0.8,0.9,0.889,0.4,0.7,1.2,1.7,0.3,0,0.6,1.9,German BBL,SG
Rich Igbineweka,GOE,17,14.4,6.2,2.1,3.8,0.563,0.3,0.9,0.313,1.6,2.4,0.7,0.4,1.4,1.8,1,0.7,0,0.8,2.2,German BBL,SG
Patrick Heckmann,BRO,13,20,5.3,1.9,4.5,0.431,0.7,2.1,0.333,0.8,1.5,0.526,1,2.5,3.5,2.8,0.8,0.2,0.7,2.1,German BBL,SG
Nick Weiler-Babb,BAY,15,21.3,4.9,1.6,4.1,0.387,1.3,3.3,0.4,0.4,0.5,0.75,0.5,2.6,3.1,1.9,1.1,0.1,0.8,1.9,German BBL,SG
Chris Carter,ROST,17,20.6,4.4,1.2,3.2,0.382,0.5,1.9,0.281,1.4,1.7,0.793,0.5,1.5,2.1,3.6,1.3,0.1,1.5,2.1,German BBL,SG
Jonas Mattisseck,BER,16,16.2,3.9,1.2,3.8,0.317,0.8,3,0.271,0.7,0.9,0.733,0.4,1.4,1.8,1.1,0.8,0.1,0.6,1.9,German BBL,SG
Kevin Wohlrath,BRO,19,17,3.8,1.4,3.4,0.415,0.6,1.9,0.324,0.4,0.6,0.636,0.7,1.5,2.2,0.5,0.5,0.3,0.6,1.4,German BBL,SG
Akeem Vargas,MLP,18,15.1,2.9,0.9,2.9,0.302,0.7,2.6,0.283,0.4,0.6,0.7,0.2,1,1.2,0.8,0.5,0.1,0.3,1.4,German BBL,SG
Karsten Tadda,BRO,19,14.6,2.8,0.9,2.8,0.315,0.8,2.6,0.327,0.2,0.2,1,0.3,0.9,1.2,0.7,0.4,0.1,0.3,1.3,German BBL,SG
Till Joscha Joenke,TUB,12,10,2.8,0.9,2.3,0.393,0.2,0.4,0.4,0.8,1,0.833,0.7,0.9,1.6,0.6,0.6,0,0.3,1.3,German BBL,SG
Timo Lanmuller,TUB,16,15.5,2.8,1,3.3,0.308,0.6,2.1,0.265,0.3,0.4,0.667,0.3,1,1.3,1.8,0.7,0,0.8,2.4,German BBL,SG
Luis Wulff,CRA,16,9.2,1.4,0.5,1.6,0.308,0.3,1.1,0.294,0.1,0.3,0.5,0.3,0.3,0.6,0.4,0.2,0,0.4,1.9,German BBL,SG
Lukas Herzog,BRO,16,7,1.2,0.4,1.4,0.304,0.1,0.7,0.182,0.2,0.2,1,0.3,0.8,1.1,0.6,0.3,0.1,0.2,0.9,German BBL,SG
Felix Hoffmann,OLI,14,7.2,0.6,0.2,1.1,0.2,0.1,0.5,0.143,0.1,0.4,0.4,0.6,1.2,1.9,0.2,0.2,0,0.1,0.2,German BBL,SG
L.J. Figueroa,RUL,19,27.4,13.7,5.3,9.3,0.568,1.5,3.3,0.468,1.7,2.3,0.727,1.1,2.5,3.6,1.7,1.6,0.2,0.8,2.2,German BBL,SF
Bodie Hume,GOE,17,27.1,13.2,4.8,9.1,0.526,2.4,5.4,0.446,1.3,2.4,0.537,1.4,3.2,4.6,0.8,0.8,0.8,1.1,3.2,German BBL,SF
James Murray-Boyles,CRA,17,27.2,12.9,5.2,11.4,0.456,1.2,3.9,0.313,1.4,1.8,0.767,1.1,3.6,4.7,1.5,0.9,0.1,2,2.6,German BBL,SF
Jeff Garrett,BVC,19,30,12.8,5.2,10.2,0.51,1.3,4.1,0.321,1.1,1.4,0.808,2.4,6,8.4,1.6,1.4,0.7,1.3,2.4,German BBL,SF
V.J. King,HAM,18,23.4,12.6,4.3,8.3,0.523,1.4,3.4,0.426,2.5,3.1,0.804,0.8,2.8,3.7,1,0.4,0.1,2,1.7,German BBL,SF
Leo Westermann,CRA,15,24.7,11.4,3.7,8.1,0.459,2.1,5.3,0.405,1.8,2.1,0.844,0.5,1.9,2.3,4.1,1,0.1,3.7,2.7,German BBL,SF
Noah Kirkwood,TBB,20,22.8,11.3,4.3,8.6,0.497,1.8,4.3,0.407,1,1.5,0.69,0.7,2.3,2.9,2.3,1.2,0.1,1.4,3.2,German BBL,SF
Javon Bess,OLI,18,32.3,10.6,3.6,7.8,0.457,2,4.7,0.429,1.4,1.7,0.839,0.9,3.9,4.8,1.6,1.6,0.5,1.1,1.9,German BBL,SF
Jeffrey Carroll,MLP,15,24.3,10.5,3.5,9.5,0.364,1.3,5.5,0.232,2.3,2.7,0.85,1.1,2.4,3.5,1.2,1.2,0.3,1.2,1.9,German BBL,SF
Georginho de Paula,RUL,18,23.9,10.4,3.1,6.6,0.466,1.3,3.4,0.387,2.9,3.6,0.815,0.7,1.9,2.6,3.8,0.7,0.4,2.4,1.8,German BBL,SF
Eric Lockett,ROST,18,26.7,10.3,3.9,8.2,0.483,0.7,2.2,0.3,1.7,1.8,0.939,1.3,3.9,5.2,2.8,1.6,0.2,1.4,2.9,German BBL,SF
Tim Coleman,MLP,12,21.8,10.3,3.3,9.8,0.333,1.1,4.3,0.25,2.7,3.3,0.821,1.3,2.9,4.2,1.8,0.9,0.3,1.9,3.8,German BBL,SF
Chris-Ebou Ndow,BC,18,28.4,10.2,3.4,7.3,0.473,1.3,3.8,0.333,2.1,2.4,0.86,1.1,4.4,5.6,1.6,2.2,0.4,0.9,2.1,German BBL,SF
Savion Flagg,TBB,20,24.7,10.1,4.1,7.5,0.547,1.3,3.3,0.4,0.6,1.3,0.44,1.8,3.5,5.3,1.6,0.6,0.4,1.7,1.4,German BBL,SF
Wesley Iwundu,RAS,19,24.3,9.8,3.2,7.7,0.418,1.3,3.5,0.373,2.1,2.9,0.696,0.5,4.5,5,1.9,0.9,0.5,1.4,2.2,German BBL,SF
Joel-Sadu Aminu,RAS,17,22.8,9.5,3.3,8.6,0.381,1.7,5.1,0.337,1.2,1.4,0.875,0.9,2.4,3.3,1.6,1.2,0.2,1.2,2.1,German BBL,SF
Elijah Childs,LUD,15,17.6,9.3,3.5,5.8,0.598,0.1,0.5,0.25,2.3,2.9,0.773,1.7,3.2,4.9,1.1,0.6,1.1,1,2.2,German BBL,SF
Ryan Schwieger,RAS,16,17.1,9.1,3.1,6.9,0.45,1.1,3.1,0.36,1.8,2.3,0.757,0.7,1.6,2.3,1.9,0.2,0.3,1.9,1.4,German BBL,SF
Justin Gray,BRO,14,20.3,8.8,3.2,6.9,0.469,1.6,4.1,0.379,0.8,1.2,0.647,1.4,2.7,4.1,1.1,0.7,0.5,0.6,2.4,German BBL,SF
Nicholas Tischler,BLB,20,23.7,8.5,3.3,6.5,0.5,0.6,1.6,0.387,1.4,1.9,0.737,1,3.3,4.3,1.7,1,0.2,1.5,3.2,German BBL,SF
Maximilian Ugrai,OLI,18,21.2,8.5,2.9,5.4,0.531,0.7,2.3,0.31,2,2.4,0.818,1,1.8,2.8,1.1,0.5,0.4,0.9,2.9,German BBL,SF
Louis Olinde,BER,9,15.6,8.4,2.9,5.6,0.52,1,2,0.5,1.7,2,0.833,0.7,2.1,2.8,0.9,0.8,0.4,0.8,1,German BBL,SF
Erol Antonio Ersek,TUB,18,23.5,8.3,2.7,7.3,0.364,1.8,5.1,0.348,1.2,1.3,0.913,0.2,2,2.2,1.9,0.7,0.2,1.2,3.1,German BBL,SF
Lukas Meisner,HAM,16,22,8,2.6,6.1,0.423,1.6,4.4,0.352,1.3,2,0.656,0.5,2.9,3.4,1.3,0.9,0.2,1.3,1.5,German BBL,SF
Brandon Tischler,BLB,19,19.6,7.8,2.5,5.6,0.439,0.7,2.2,0.31,2.2,2.8,0.759,0.5,2.3,2.8,1,0.5,0.3,1.3,2.3,German BBL,SF
Kenneth Ogbe,EWE,15,20.2,7.4,2.1,4.8,0.444,1.1,3.1,0.37,2,2.4,0.833,0.7,2.9,3.6,0.3,0.6,0,0.9,2.1,German BBL,SF
Justin Bean,BER,13,19.6,6.8,2.4,4.8,0.492,0.8,1.9,0.4,1.3,1.6,0.81,1.2,3.2,4.4,1.2,0.5,0.5,0.5,0.8,German BBL,SF
Yorman Polas,LUD,18,22.1,6.7,2.4,6.2,0.384,0.8,2.5,0.311,1.2,1.5,0.778,1.3,2.8,4.2,1.6,0.7,0.1,1.4,2.7,German BBL,SF
Lukas Wank,EWE,18,25.1,6.7,2.4,5.6,0.44,1.6,4.3,0.364,0.3,0.3,0.833,1,2.3,3.3,1.3,0.8,0.3,1.1,2.1,German BBL,SF
Elias Harris,BAY,17,14.2,6.7,2.4,4.2,0.563,0.1,0.4,0.167,1.9,2.2,0.868,1.3,1.7,3,1.4,0.1,0.2,0.6,1.7,German BBL,SF
Zaccheus Darko-Kelly,TUB,16,16.7,6.1,2.2,5.4,0.407,1.4,3.3,0.415,0.4,0.5,0.75,0.8,1.3,2.1,0.9,0.9,0.1,1.6,1.4,German BBL,SF
Pacome Dadiet,RUL,19,14.3,6.1,2.1,4,0.513,0.7,2,0.368,1.2,1.5,0.821,0.7,1.5,2.3,0.6,0.5,0.1,0.7,1.6,German BBL,SF
Niels Giffey,BAY,13,20.4,5.8,2.1,4.6,0.45,1,2.1,0.481,0.7,0.8,0.818,0.7,2.3,3,1.2,0.8,0.5,0.9,2.3,German BBL,SF
Tylor Ongwae,BVC,13,22.9,5.7,2,5.4,0.371,0.8,2.9,0.289,0.8,1.5,0.579,1.2,1.8,2.9,1.6,0.7,0.3,0.8,2.8,German BBL,SF
Malte Delow,BER,16,16.6,5.3,1.8,3.6,0.5,0.8,1.8,0.414,0.9,1.1,0.824,0.6,1.5,2.1,2.7,0.6,0.2,1,2.1,German BBL,SF
Daniel Keppeler,TUB,11,13,4.9,2,3.8,0.524,0.5,1,0.545,0.4,0.9,0.4,0.6,1.8,2.5,1.3,0.6,0.9,0.8,2.3,German BBL,SF
Sid Theis,ROST,18,15.5,4.6,1.8,4.2,0.427,0.5,2.2,0.231,0.6,0.8,0.714,0.5,0.9,1.4,0.5,0.4,0.1,0.6,2.3,German BBL,SF
Jacob Patrick,LUD,19,10.5,4.3,1.4,4,0.355,1.2,3.4,0.359,0.2,0.3,0.8,0.3,0.4,0.7,0.3,0.5,0,0.2,1.9,German BBL,SF
Niklas Wimberg,BAY,13,14.5,2.8,1.2,2.8,0.417,0.5,1.6,0.286,0,0,0,0.5,1.5,1.9,1,0.4,0.5,0.6,1.4,German BBL,SF
Tobias Jensen,RUL,17,11.2,2.8,1.1,2.5,0.429,0.4,1.1,0.316,0.3,0.4,0.833,0.2,0.8,1,1.5,0.7,0,0.9,1.3,German BBL,SF
Niki Krause,HAM,12,10.3,2.5,0.8,2,0.417,0.1,0.5,0.167,0.8,0.9,0.818,0.2,0.6,0.8,0.8,0.4,0.1,1,1.9,German BBL,SF
Luc Van Slooten,RAS,13,6.4,2.1,0.8,2.3,0.367,0.2,1.3,0.176,0.2,0.5,0.286,0.1,1,1.1,0.5,0.4,0,0.3,0.8,German BBL,SF
Leif Moeller,HAM,14,7.5,1.6,0.6,1.9,0.308,0.4,1.4,0.263,0.1,0.1,1,0.4,0.2,0.6,0.4,0.2,0,0.4,0.9,German BBL,SF
Dominic Lockhart,BVC,11,16.4,1.4,0.5,1.5,0.375,0.2,0.9,0.2,0.1,0.1,1,0.9,1.1,2,0.9,0.7,0.2,1.1,2.8,German BBL,SF
"Jimmy Boeheim, Jr.",TUB,19,27.6,14.5,5.1,10.2,0.495,0.8,2.8,0.296,3.6,4.5,0.791,1.6,2.5,4.1,1.3,0.4,0.1,1.3,1.8,German BBL,PF
Karim Jallow,RUL,18,27,14.4,5.1,8.9,0.565,1.2,2.9,0.415,3.1,4,0.778,1.2,2.1,3.2,0.9,0.8,0.1,1.8,2.2,German BBL,PF
Johannes Thiemann,BER,12,20.7,13.7,3.9,7.7,0.511,0.2,1.2,0.143,5.7,6.4,0.883,1.7,3,4.7,2.3,0.7,0.2,1.8,1.8,German BBL,PF
Mateo Seric,TUB,16,27.1,13.5,5,11.2,0.447,1,3.8,0.267,2.5,2.9,0.851,1.1,3.2,4.3,1.8,0.9,0.1,1.4,2.8,German BBL,PF
Chevez Goodwin,ROST,17,25.4,13.1,5.4,8.4,0.636,0,0,0,2.4,4.2,0.563,3.7,3.9,7.6,1.1,0.5,0.5,2.2,3.6,German BBL,PF
Zac Seljaas,OLI,14,29.8,12.6,3.9,8.6,0.455,2,5.4,0.368,2.7,3.1,0.864,1.3,4.9,6.1,1,1,0.5,1.1,2.6,German BBL,PF
Adrian Nelson,BRO,19,25.6,12.5,5.3,9.9,0.537,0.9,2.8,0.321,1,1.4,0.704,2.7,3.6,6.4,1.2,0.6,0.4,1.5,1.6,German BBL,PF
Vincent Kesteloot,MLP,15,24.7,11.8,4.7,8.1,0.582,0.7,2.1,0.313,1.7,2.3,0.735,1.6,1.2,2.8,1.3,0.6,0.3,1.3,1.7,German BBL,PF
Jaren Lewis,LUD,19,22.1,10.7,3.8,8.4,0.459,0.9,2.9,0.327,2.1,2.3,0.909,1.3,2.4,3.7,0.9,0.8,0.1,1.1,1.4,German BBL,PF
Devin Booker,BAY,10,21.5,10.4,4.1,6.5,0.631,0.7,1.2,0.583,1.5,1.7,0.882,1.4,3.5,4.9,1.5,0.4,0.3,1.5,1.8,German BBL,PF
Deane Williams,EWE,9,24,10,3.7,6.8,0.541,1.7,3.8,0.441,1,1.7,0.6,0.4,3.4,3.9,1.3,1.2,0.6,2,3.2,German BBL,PF
Joschka Ferner,RAS,19,24.4,9.8,3.5,7.8,0.443,2.7,6.4,0.418,0.2,0.2,0.75,0.7,2,2.7,0.7,0.7,0.2,0.8,2.4,German BBL,PF
Christian Sengfelder,TBB,19,23.7,9.5,3.4,6.1,0.56,1.1,2.6,0.408,1.6,1.9,0.833,1.6,1.8,3.4,0.8,0.5,0.3,0.9,2.1,German BBL,PF
Thomas Kennedy,TBB,12,21.1,9.2,3.8,5.3,0.703,0,0,0,1.7,3.2,0.526,2.3,3.7,5.9,1.1,0.7,0.2,1.2,2.5,German BBL,PF
Aher Uguak,BVC,19,29.7,9.1,3.4,7.9,0.427,1.4,4.1,0.338,1,1.4,0.731,0.4,2.6,3,2.3,0.7,0.4,1.8,2.8,German BBL,PF
Till Pape,TBB,18,22.4,9.1,3.8,7.3,0.519,0.8,2.2,0.375,0.7,1.2,0.571,1.6,1.7,3.3,1.9,0.3,0,0.9,2.3,German BBL,PF
Brekkott Chapman,EWE,5,22.8,8.6,3,6.8,0.441,0.6,3,0.2,2,2.6,0.769,1.6,3.8,5.4,2.2,1.4,0.2,2.4,2.6,German BBL,PF
Stephon Jelks,BC,18,24.9,8.5,3.1,6.2,0.491,1.4,3.4,0.419,0.9,1.6,0.607,1.8,2.9,4.7,2.4,0.7,0.1,1.7,3.1,German BBL,PF
Grant Anticevich,GOE,17,24.6,8.4,3.4,6.6,0.509,1.3,3.2,0.407,0.4,0.6,0.636,1.4,3.5,4.9,1,0.6,0.1,1,1.6,German BBL,PF
Martin Peterka,BLB,19,22.8,7.5,2.6,6.2,0.427,1.7,4.4,0.381,0.6,0.7,0.846,1.3,1.5,2.7,0.9,0.6,0.2,0.7,1.9,German BBL,PF
Collin Welp,OLI,18,16.7,6.9,2.6,6.3,0.416,0.8,2.2,0.375,0.9,1.2,0.727,0.9,1.8,2.7,0.4,0.4,0.2,0.8,2.1,German BBL,PF
Xeyrius Williams,RAS,14,16.8,6.6,2.4,6.5,0.374,1.6,3.6,0.431,0.1,0.1,1,0.6,3.5,4.1,0.9,0.3,0.6,0.9,1.5,German BBL,PF
