Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Position
David Cournooh,BRE,19,14.6,5.9,2.2,4.9,0.441,0.8,1.9,0.444,0.7,0.9,0.824,0.5,1.3,1.8,1.8,0.1,0.1,0.6,2,Italian Lega Basket,SG
Mattia Udom,TREN,18,17,5.8,2.1,4.9,0.432,0.9,2.9,0.308,0.7,1.1,0.684,1.5,1.8,3.3,1.1,0.5,0.1,0.9,1.9,Italian Lega Basket,SG
Stefano Gentile,SAS,19,17.4,5.3,1.7,3.9,0.427,0.8,1.9,0.432,1.1,1.2,0.909,0.6,1.5,2.1,2.1,1.2,0,1.3,1.8,Italian Lega Basket,SG
Tomas Woldetensae,VAR,16,17.4,4.9,1.4,5.1,0.28,0.6,3.1,0.184,1.5,2,0.75,0.5,1.8,2.3,1.5,0.4,0.1,0.9,2.1,Italian Lega Basket,SG
Giordano Bortolani,MIL,17,11.9,4.6,1.4,3.5,0.383,0.9,2.5,0.381,0.9,1.2,0.762,0.1,0.8,0.9,0.6,0.2,0.1,0.5,1.2,Italian Lega Basket,SG
Giovanni De Nicolao,NAP,19,13.1,3.2,1.4,2.6,0.531,0.2,0.6,0.333,0.3,0.4,0.625,0.6,1.6,2.2,1.8,0.7,0.1,1,3.2,Italian Lega Basket,SG
Lorenzo Uglietti,REG,16,12.4,3,1,1.6,0.615,0.3,0.5,0.5,0.8,1.2,0.632,0.3,2,2.3,1.9,0.8,0.1,1.3,2.3,Italian Lega Basket,SG
Matteo Librizzi,VAR,15,10.7,2.4,0.9,1.9,0.448,0.5,1.1,0.412,0.2,0.3,0.75,0.1,0.2,0.3,1.1,0.2,0,0.3,1.3,Italian Lega Basket,SG
Lorenzo Saccaggi,PIS,19,15.5,1.7,0.6,1.7,0.333,0.1,0.6,0.182,0.5,0.5,0.9,0.2,1.5,1.7,0.7,0.1,0,0.8,2.7,Italian Lega Basket,SG
Leonardo Faggian,TREV,17,12.7,1.5,0.6,2.1,0.286,0.1,0.7,0.083,0.3,0.6,0.5,0.4,0.6,1,0.8,0.6,0.1,0.6,1.6,Italian Lega Basket,SG
Matteo Piccoli,CRE,19,8.9,1.1,0.3,1.3,0.208,0.2,0.9,0.222,0.3,0.4,0.75,0.4,0.9,1.3,0.4,0.6,0.1,0.2,1.6,Italian Lega Basket,SG
Michele Ebeling,NAP,14,3.9,0.4,0.1,0.4,0.2,0,0.2,0,0.2,0.2,1,0.1,0.4,0.5,0,0,0,0.1,0.7,Italian Lega Basket,SG
Aristide Mouaha,SCAF,14,5.3,0.1,0.1,0.5,0.143,0,0.3,0,0,0,0,0.1,0.4,0.6,0.4,0.1,0,0.3,0.6,Italian Lega Basket,SG
Olivier Hanlan,VAR,19,29.2,18.8,6.1,13.3,0.455,2.5,6.3,0.4,4.2,5.1,0.823,0.2,3.7,3.9,4.2,0.4,0.1,2.8,3.3,Italian Lega Basket,SF
Osvaldas Olisevicius,TREV,10,31.5,16.7,5.5,13.4,0.41,2.1,5.9,0.356,3.6,4.4,0.818,1.1,4.6,5.7,3.1,1.1,0.1,3.4,2.3,Italian Lega Basket,SF
Xavier Sneed,NBB,16,32,15.3,4.3,11.9,0.361,1.5,5.3,0.282,5.2,6.1,0.856,1,5.3,6.3,1.8,0.9,0.6,1.8,2,Italian Lega Basket,SF
Rayjon Tucker,VEN,18,27.5,15.2,4.4,8.9,0.491,1.8,4.2,0.421,4.7,5.8,0.8,0.7,3.5,4.2,2.1,1.1,0.1,1.8,1.9,Italian Lega Basket,SF
Jordon Varnado,PIS,10,25.3,15.1,5.6,10.6,0.528,1.8,4,0.45,2.1,3.1,0.677,1.1,2.4,3.5,1,0.9,0.4,1.5,2.3,Italian Lega Basket,SF
Shavon Shields,MIL,15,25.1,14.3,4.8,10.5,0.459,2.4,5.5,0.434,2.3,2.6,0.872,0.6,3.1,3.7,2.7,1.1,0.1,1.5,1.3,Italian Lega Basket,SF
Amedeo Della Valle,BRE,18,24.8,13.4,3.9,8.9,0.441,1.9,4.9,0.398,3.6,3.9,0.915,0.3,2.3,2.6,2.8,0.9,0.1,1.3,1.4,Italian Lega Basket,SF
Marco Belinelli,BOL,17,21.1,13.1,4.6,10.5,0.438,2.7,7.1,0.383,1.2,1.3,0.955,0.1,1.4,1.5,2.1,0.6,0.1,0.9,1.6,Italian Lega Basket,SF
Demetre Rivers,SCAF,19,28.8,11.8,4.1,8.4,0.481,2.1,4.7,0.449,1.6,1.8,0.886,0.9,2.7,3.7,1,0.8,0.2,1.2,2.6,Italian Lega Basket,SF
Kyle Weems,TORT,19,25.7,11.7,4.4,10.5,0.42,1.1,3.7,0.3,1.8,2.3,0.791,1.3,3.3,4.5,1.9,0.9,0.4,2,2,Italian Lega Basket,SF
D'Angelo Harrison,TREV,17,24.5,11.6,3.7,9.8,0.38,1.4,4.8,0.28,2.8,3.5,0.8,0.4,3.2,3.6,1.5,1.3,0.1,1.8,3.1,Italian Lega Basket,SF
Michal Sokolowski,NAP,19,32.4,11.4,3.8,8.5,0.453,1.6,4.4,0.369,2.1,2.5,0.813,1.3,3.6,4.8,2.1,1.2,0,1.9,3.4,Italian Lega Basket,SF
Trevon Bluiett,PES,19,27.1,11.4,3.9,8.2,0.474,2.2,4.9,0.441,1.4,1.9,0.75,1.1,2.4,3.5,1.6,0.7,0,1.4,2.2,Italian Lega Basket,SF
Davide Alviti,TREN,17,20.5,10.8,3.5,6.9,0.504,1.8,4.5,0.395,2.1,2.4,0.878,0.5,2.6,3.2,1.5,0.9,0.2,1.2,1.8,Italian Lega Basket,SF
Alessandro Gentile,SCAF,19,23.4,10.6,4.5,8.8,0.515,0.1,0.5,0.2,1.5,1.8,0.8,0.7,3.8,4.5,3.6,0.7,0.5,2,2.7,Italian Lega Basket,SF
Vasilis Charalambopoulos,SAS,18,24.8,9.7,3.3,7.1,0.472,1.1,3.3,0.333,1.9,2.2,0.872,0.4,3.3,3.8,1.6,0.8,0.4,1.2,1.6,Italian Lega Basket,SF
Ognjen Dobric,BOL,10,17.5,7.4,3.2,6.1,0.525,0.6,2.4,0.25,0.4,0.4,1,0.4,1.3,1.7,1.1,0.8,0,0.2,1.1,Italian Lega Basket,SF
Carl Wheatle,PIS,19,29.5,7.4,2.5,6,0.412,1.1,3.4,0.323,1.3,2.1,0.625,0.7,4.3,4.9,1.7,1.1,0.3,1.2,2.1,Italian Lega Basket,SF
Andrea Pecchia,CRE,19,24.5,7.1,2.7,4.8,0.554,0.2,1,0.158,1.6,2.4,0.667,1.1,3.9,5.1,3.5,0.9,0,1.4,2.1,Italian Lega Basket,SF
Michele Vitali,REG,19,24.5,7,2.2,5.6,0.396,1.4,3.4,0.4,1.2,1.3,0.92,0.9,2.7,3.6,1.6,1,0.1,0.6,1.9,Italian Lega Basket,SF
Tomas Kyzlink,NBB,11,23,6.7,2.5,6.5,0.375,1,3.7,0.268,0.8,1.1,0.75,0.7,2.4,3.1,1.9,0.2,0,1.7,2.2,Italian Lega Basket,SF
Arturs Strautins,TORT,16,15.1,6.1,2.1,5.4,0.384,0.7,2.5,0.275,1.3,1.6,0.808,1,2,3,0.9,0.4,0.2,1.2,1.7,Italian Lega Basket,SF
Filip Kruslin,SAS,19,23.6,5.4,1.8,4.9,0.372,1.1,3.4,0.323,0.6,0.7,0.846,0.3,1.8,2.1,1.7,0.7,0.1,0.9,2.1,Italian Lega Basket,SF
Davide Casarin,VEN,19,18.3,5.1,1.9,4.3,0.439,0.7,1.9,0.361,0.6,1.5,0.393,0.8,2.2,3,1.7,0.8,0.1,0.9,1.9,Italian Lega Basket,SF
Kaspar Treier,SAS,17,13.9,4.8,1.5,3.8,0.406,0.4,1.9,0.219,1.3,1.3,1,0.5,1.3,1.8,0.6,0.7,0,0.9,1.4,Italian Lega Basket,SF
Sasha Grant,REG,18,14.7,3.8,1.4,3.5,0.413,0.4,1.4,0.28,0.6,0.6,0.909,0.8,1.7,2.4,0.5,0.2,0.1,0.8,1.8,Italian Lega Basket,SF
Alex O'Connell,VEN,13,11.7,3.1,1.5,3.8,0.38,0.2,1.5,0.1,0,0,0,0.2,1,1.2,0.5,0.4,0.1,0.6,0.9,Italian Lega Basket,SF
Myles Stephens,TREN,17,15.7,2.9,1.2,2.9,0.429,0.2,1.3,0.136,0.3,0.4,0.714,0.9,2.3,3.2,0.7,0.2,0.2,0.8,1.2,Italian Lega Basket,SF
Eric Lombardi,NBB,16,13.6,2.6,0.9,2.4,0.385,0.3,1.1,0.222,0.5,0.6,0.889,0.5,1.9,2.4,0.6,0.4,0.3,0.7,1.3,Italian Lega Basket,SF
Matteo Chillo,REG,19,10.9,2.3,0.9,2.1,0.462,0.3,0.9,0.333,0.1,0.1,1,0.3,1.3,1.6,0.3,0.4,0.1,0.2,1.9,Italian Lega Basket,SF
