name,img_url,age,height,weight,nationality
Tomas Satoransky,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Satoransky_Tomas_nop21.jpg,32,6-7,210,Czech Republic
Fabien Causeur,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Causeur_Fabien_ACB.jpg,36,6-3,198,France
Tyler Kalinoski,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Kalinoski_Tyler_ncaa_dav.jpg,31,6-4,189,United States
Roko Badzim,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Badzim_Roko_23.jpg,26,6-6,190,Croatia
Sylven Landesberg,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Landesberg_Sylven_ncaa_virg.jpg,33,6-6,207,United States/Austria
Juan Vaulet,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,27,6-6,200,Argentina
Pau Ribas,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Ribas_Pau_ACB.jpg,36,6-3,165,Spain
Sergi Quintela,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,27,6-0,168,Spain
Troy Caupain,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Caupain_Troy_por19.jpg,28,6-4,210,United States
Chumi Ortega,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,26,6-3,182,Spain
Andrea Cinciarini,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Cinciarini_Andrea_eur22.jpg,37,6-2,185,Italy
Ousmane N'Diaye,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/NDiaye_Ousmane_232004.jpg,19,6-11,210,Senegal
Elias Valtonen,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Valtonen_Elias_asu18.jpg,24,6-7,195,Finland
Adam Somogyi,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,23,6-6,180,Hungary
David Jelinek,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Jelinek_David_ACB.jpg,33,6-5,190,Czech Republic
Sasu Salin,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,32,6-3,191,Finland
Maximo Fjellerup,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Fjellerup_Maximo_18.jpg,26,6-5,180,Argentina
Rudy Fernandez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/FERNANDEZ_RUDY_por_11.jpg,38,6-6,185,Spain
Stefan Jovic,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Jovic_Stefan_eur22.jpg,33,6-5,208,Serbia
Augustin Ubal,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,20,6-7,195,Uruguay
Jovan Kljajic,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Kljajic_Jovan_21.jpg,22,6-6,200,Montenegro
Albert Ventura,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Ventura_Albert_ACB.jpg,31,6-5,180,Spain
Manuel Rodriguez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,32,6-3,180,Spain
Devin Robinson,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Robinson_Devin_tor19.jpg,28,6-7,200,United States
Dzanan Musa,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Musa_Dzanan_det20.jpg,24,6-9,217,Bosnia and Herzegovina
Nicolas Brussino,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Brussino_Nick_atl17.jpg,30,6-8,195,Argentina
Santiago Yusta,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,26,6-6,183,Spain
Vitor Benite,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,33,6-3,194,Brazil
Thomas Scrubb,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,32,6-5,189,Canada
Semi Ojeleye,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Ojeleye_Semi_mil21.jpg,29,6-6,240,United States
Kameron Taylor,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,29,6-6,200,United States
Yves Pons,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Pons_Yves_mem21.jpg,24,6-6,215,Haiti/France
Matas Jogela,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Jogela_Matas_2019.jpg,25,6-6,182,Lithuania
Rodions Kurucs,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Kurucs_Rodions_bkn20.jpg,26,6-9,230,Latvia
Alex Abrines,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Abrines_Alex_okc_18.jpg,30,6-6,190,Spain
Stan Okoye,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Okoye_Stan_ncaa_vmi.jpg,32,6-6,215,United States/Nigeria
Pep Busquets,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,24,6-5,198,Spain
Howard Sant-Roos,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Santroos_Howard_21.jpg,32,6-7,180,Cuba
Elgin Cook,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Cook_Elgin_gsw1617.jpg,31,6-6,206,United States
Travante Williams,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,30,6-4,200,United States/Portugal
Anthony Polite,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Polite_Anthony_fsu17.jpg,26,6-5,220,Switzerland
Alex Reyes,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,30,6-7,187,Spain
Joan Sastre,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Sastre_Joan_ACB.jpg,32,6-7,200,Spain
Alberto Abalde,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Abalde_Alberto_euro.jpg,28,6-7,215,Spain
Melvin Ejim,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Ejim_Melvin_orl1516.jpg,32,6-6,220,Canada
Nikos Rogkavopoulos,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Rogkavopoulos_Nikos_22w.jpg,22,6-8,197,Greece
Josep Puerto,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Puerto_Josep_21.jpg,24,6-6,198,Spain
Rafa Luz,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Luz_Rafa_ACB.jpg,32,6-3,202,Brazil
Jonathan Barreiro,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Barreiro_Jonathan_21.jpg,27,6-8,200,Spain/Poland
Matej Rudan,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,22,6-9,205,Croatia
Alvaro Munoz,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Munoz_Alvaro_ACB.jpg,33,6-5,200,Spain/Germany
Pere Tomas,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,34,6-6,198,Spain
Oscar da,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/dasilva_Oscar_stan17.jpg,25,6-9,230,Germany
Mathieu Kamba,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Kamba_Mathieu_uca.jpg,28,6-5,210,Canada/Democratic Republic of the Congo
Xavi Rabaseda,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Rabaseda_Xavi_euro.jpg,34,6-7,205,Spain
Miguel Gonzalez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Gonzalez_Miguel_euro21.jpg,24,6-6,204,Spain
Hugo Gonzalez,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,18,N/A,N/A,Spain
Victor Claver,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Claver_Victor_por14.jpg,35,6-10,235,Spain
Juan Rubio,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,28,6-5,204,Spain
