,CenterRating,PowerForwardRating,ShootingGuardRating,SmallForwardRating,PointGuardRating,OverallRating,id,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Position
463,45.01824033739933,42.155921496819616,40.34360769344325,40.34360769344325,46.29889224628878,42.83205389347885,463,Axel Bouteille,BAHC,19,31.9,16.9,6.5,13.3,0.49,2.3,5.8,0.387,1.6,2.2,0.732,1.4,3.2,4.5,2.3,0.8,0.0,1.4,2.1,Turkish BSL,SF
2210,34.382868149177746,39.41910003323572,45.87701959629431,45.87701959629431,47.391247238570735,42.58945092271457,2210,Kenny Dawkins,CAX,22,33.0,13.8,4.0,11.5,0.346,2.0,7.1,0.282,3.8,4.9,0.769,0.4,2.9,3.2,4.9,1.4,0.0,3.1,1.6,Brazilian NBB,PG
1333,48.162391544277526,44.17688429790071,40.61121895529893,40.61121895529893,39.340893752046895,42.5805215009646,1333,Ivan Vucic,DIN,20,31.8,14.5,5.1,10.1,0.507,1.9,4.5,0.416,2.5,3.4,0.721,1.7,5.3,7.0,3.3,1.8,0.2,2.5,2.5,Croatian A1 Liga,SF
1733,35.89663910292467,37.853160842055104,45.418950315739316,45.418950315739316,48.254316169397846,42.568403349171255,1733,Taylor Rochestie,TIA,35,19.9,16.5,5.3,11.3,0.468,2.3,5.7,0.41,3.6,3.8,0.94,0.5,2.5,3.1,5.3,0.6,0.0,2.1,1.3,Chinese CBA,PG
1143,45.11451752591036,43.77393781576543,40.14620693195212,40.146206931952136,43.631979289675705,42.56256969905115,1143,Jovan Sljivancanin,DYNA,14,29.9,16.6,6.4,13.7,0.464,1.9,5.2,0.356,2.1,2.6,0.784,1.4,3.1,4.6,1.6,1.0,0.1,1.7,1.8,Serbian KLS,SG
1422,31.620649922300043,37.74383832809715,48.797711217868745,48.797711217868745,45.637142112177685,42.51941055966247,1422,Kaza Keane,BVC,11,24.3,11.8,4.1,10.5,0.388,1.4,4.8,0.283,2.3,2.5,0.926,0.2,2.5,2.7,6.5,1.3,0.1,3.1,2.5,German BBL,PG
2214,33.98633774167806,35.816047886605595,46.28340141192834,46.28340141192834,49.92161279404216,42.4581602492365,2214,Diego Figueredo,SAO,22,32.2,12.6,4.3,11.0,0.393,2.2,6.3,0.353,1.7,2.1,0.809,0.5,2.7,3.2,6.6,1.0,0.1,2.2,2.2,Brazilian NBB,PG
1450,39.656254297036426,40.23596444196396,43.1623547100871,43.1623547100871,45.81479373447734,42.40634437873039,1450,Jayvon Graves,LUD,19,28.5,14.8,5.3,12.6,0.417,1.7,5.2,0.323,2.6,3.9,0.676,1.5,2.7,4.2,4.1,1.1,0.3,1.9,2.3,German BBL,SG
1448,34.87952688953047,41.00271529532756,45.08042135292438,45.08042135292438,45.98489289763983,42.40559555766933,1448,Wesley Van Beck,BVC,19,25.6,15.2,4.9,10.6,0.468,3.2,6.8,0.465,2.2,2.3,0.932,1.0,2.5,3.5,4.1,1.4,0.2,3.1,2.7,German BBL,SG
591,31.186373188110434,39.90014130405247,49.81821478965326,49.818214789653254,41.1596782042874,42.37652445515136,591,Isaiah Briscoe,MAR,15,30.2,14.5,5.1,10.9,0.466,0.5,2.3,0.229,3.8,6.1,0.626,0.5,1.7,2.1,5.6,1.3,0.1,3.2,3.7,Greek HEBA A1,SG
2259,35.91325894921879,35.04369373182749,46.83924983907674,46.83924983907674,47.20510349761333,42.36811117136263,2259,Elinho Neto,CORI,23,31.9,9.3,3.4,9.6,0.357,1.6,5.1,0.314,0.9,1.4,0.625,0.5,4.0,4.4,8.0,1.3,0.0,2.4,1.3,Brazilian NBB,SG
2244,43.41020296962081,43.48266673773675,40.441455218372305,40.44145521837231,43.86625196633979,42.32840642208839,2244,Christian Alaekwe,BRA,23,32.8,14.9,5.4,14.0,0.388,2.3,6.4,0.351,1.8,2.6,0.695,0.6,3.5,4.1,1.5,1.1,0.3,2.3,2.5,Brazilian NBB,SG
1456,34.19154494551279,36.56473335130989,45.8745645330378,45.8745645330378,48.69976778507032,42.24103502959372,1456,Ahmaad Rorie,BLB,19,28.8,13.2,4.7,11.3,0.416,2.2,5.9,0.375,1.6,2.0,0.789,0.4,2.5,2.9,5.9,0.9,0.1,2.2,1.9,German BBL,SG
2014,44.25776883736702,42.97153695330904,41.2088755829019,41.2088755829019,41.17838777802385,42.16508894690074,2014,Luciano Guerra,FOR,19,27.8,13.9,5.5,12.1,0.457,1.5,4.7,0.326,1.3,1.5,0.893,0.9,4.0,4.9,2.6,1.2,0.1,2.3,2.7,Argentinian Liga A,PG
2013,41.67135875779306,40.09527180127132,42.314114899583146,42.314114899583146,44.336472623160375,42.14626659627821,2013,Joaquin Valinotti,CAP,19,32.0,14.5,5.3,11.7,0.455,2.2,5.3,0.406,1.7,2.3,0.727,0.4,3.8,4.2,3.8,1.6,0.0,2.1,2.1,Argentinian Liga A,PG
840,42.67810043021032,39.67085405339872,40.58942406332922,40.58942406332921,47.16462731536173,42.13848598512584,840,Levi Randolph,HAPJ,7,28.4,16.1,5.7,14.3,0.4,1.9,5.9,0.317,2.9,3.6,0.8,0.6,3.1,3.7,2.9,0.6,0.0,1.3,1.6,Israeli BSL,SG
2478,57.10850982025904,45.98532141446193,37.03547037176084,37.03547037176084,33.20416955875271,42.07378830739907,2478,Alize Johnson,KCC,36,19.8,14.0,5.5,9.9,0.556,0.4,1.6,0.224,2.6,3.5,0.754,3.0,6.7,9.7,2.9,0.7,0.1,1.7,2.2,South Korean KBL,SF
423,35.77586937481863,40.75775343278964,45.39404936129014,45.39404936129014,42.904211962916165,42.045186698620945,423,Jordan Floyd,BURS,18,26.9,17.2,5.8,12.6,0.463,1.2,3.9,0.31,4.3,5.1,0.848,0.3,2.0,2.3,3.5,1.6,0.4,2.5,2.5,Turkish BSL,SG
1284,35.19764788462435,39.00199571071131,45.72369382391886,45.72369382391886,44.402555612536744,42.00991737114203,1284,Karlo Uljarevic,SRKL,19,33.6,15.1,4.3,9.8,0.439,2.1,5.5,0.371,4.4,5.2,0.838,0.7,3.2,3.9,5.5,1.7,0.0,3.0,2.9,Croatian A1 Liga,PG
529,53.9454019517736,46.78960485032431,38.59074685628261,38.59074685628261,31.88342978311188,41.959986059555,529,Jerry Boutsiele,BAHC,19,34.1,15.2,5.5,10.4,0.528,0.3,0.8,0.375,3.9,5.5,0.712,3.4,5.7,9.1,2.8,0.4,0.7,2.0,2.1,Turkish BSL,C
426,42.43512588311624,41.819183854130735,42.20088693258159,42.20088693258158,40.9610495342076,41.92342662732355,426,Khyri Thomas,SOC,18,32.1,14.9,5.3,12.3,0.43,1.6,3.9,0.394,2.8,4.0,0.708,1.0,3.6,4.6,3.3,1.4,0.1,2.2,2.1,Turkish BSL,SG
